texto_limpo,sentimento,Query
eu enterrava ele com o manto do palmeiras,Positivo,Palmeiras
"A torcida, que conduz, vai embora.",Negativo,Palmeiras
"A Fifa oficializa os fardamentos que serão utilizados pelo Palmeiras na fase de grupos da Copa do Mundo de Clubes. Estreia contra o Porto com o uniforme 1, Al Ahly com o uniforme 2 e fecha a 1ª fase com o uniforme exclusivo do torneio",Neutro,Palmeiras
"A verdade é que todo mundo sabe que o Palmeiras foi pro mundial só pra passear, pq ganhar o título, nunca irá, não tem e nunca terá!!!",Negativo,Palmeiras
domingo que vem nesse mesmo horário tem palmeiras no mundial,Neutro,Palmeiras
"Quero apostar aqui que esse evento do video abaixo não vai ter nenhuma punição mesmo tendo acontecido no aquecimento sem a presença da arbitragem, mesma situação na qual o Palmeiras foi punido... Agora a punição do Corinthians ocorreu em um ambiente de que a partida teve que ser",Negativo,Palmeiras
Corinthians Posso entrá? Conmebol,Neutro,Palmeiras
1 de chance 99 de fé do palmeiras nesse mundial mas muito legal a torcida e o time juntos,Positivo,Palmeiras
"32 anos depois daquele penal do Evair, o aterrisa nos pra cobrir o Palmeiras na primeira Copa do Mundo de Clubes da história. Privilégio, responsabilidade e muito trabalho. O Palmeiras nos move, e isso basta. Já diria",Positivo,Palmeiras
Se a SepTT já é doida imagina a SEPTOKbichão falando que o naves é um dos piores jogadores q ele viu jogar no Palmeiras nos últimos anos TNC,Negativo,Palmeiras
Muito legal essa interação do Palmeiras com os torcedores que vem acontecendo nos Estados Unidos Bonito presente que torcedores deram para Abel Ferreira,Positivo,Palmeiras
Raphael Veiga 23 quando não corta o cabelo,Neutro,Palmeiras
12 de Junho X Palmeiras X EUA? eu fecho os meus olhos e minha mente só desenha esse momento,Neutro,Palmeiras
Toda vez que aparece o Becacece minha mente só desenha esse momento,Positivo,Palmeiras
"Nostalgia pura, o gol do Palmeiras, a transmissão, o prédio piscando as luzes, a torcida enlouquecida, esse era o Palestra Itália...",Positivo,Palmeiras
"Gostaria de falar um pouco sobre esse cara, Marcos Rocha. É consenso entre todos, que o seu ciclo já deveria ter sido fechado, ponto. Mas é incrível como ele sabe a dimensão e o tamanho que é o Palmeiras, principalmente sua torcida. Um exemplo de pessoa, jogador e capitão.",Positivo,Palmeiras
A tropa Alviverde tá chegando Estados Unidos,Neutro,Palmeiras
Palmeiras.,Neutro,Palmeiras
"Acertar todos os vencedores tá pagando 25x Não acho q vá ter zebra, tô pensando em botar cenzinho nessa aqui. Talvez eu tire o Palmeiras e vou nos líderes dos outros 7 grupos que ainda assim fica odd 10. Ou você acha q vai ter zebra na liderança?",Neutro,Palmeiras
"Não existe SE para amarmos o Palmeiras. Não existe MAS para entrarmos em campo com ele, jogarmos junto, o apoiarmos... Se der certo, explodiremos de alegria, juntos. E se não der, continuaremos juntos, unidos... como sempre. Amo você, !",Positivo,Palmeiras
Ensaio no MetLife Stadium para Palmeiras x Porto no Super Mundial de Clubes,Neutro,Palmeiras
Olha ela aí! Camisa do Palmeiras para a Copa do Mundo de Clubes aprece em propaganda da Puma Puma Football,Neutro,Palmeiras
Apoio da torcida bora rumo ao mundial SOCIEDADE ESPORTIVA PALMEIRAS,Positivo,Palmeiras
E se fosse contra Flamengo ou Palmeiras? Vocês acham que teria jogo?,Neutro,Palmeiras
Então esse é o culpado pelo tanto de camisa feia,Negativo,Palmeiras
Do nada um Halerrandrio no Palmeiras,Neutro,Palmeiras
Ele é muito Palmeiras...,Neutro,Palmeiras
"os jogadores do palmeiras, flamengo e fluminense assim no avião pro mundial",Neutro,Palmeiras
O vídeo caótico!,Negativo,Palmeiras
Richard Rios is following ASRoma on Instagram The Colombian midfielder of Palmeiras has been again linked with a move to the Capital Is this just a coincidence or is it a sign?,Neutro,Palmeiras
"Gringos desfilando com as novas camisas do Palmeiras em evento da Puma com a KidSuper, em Nova Iorque. greengos1914 IG",Neutro,Palmeiras
metrô de NYC só tem Palmeiras,Neutro,Palmeiras
O Palmeiras iniciou o processo de clonagem do Marcos Rocha após pedido de Abel Ferreira. A ideia é ter os dois Rochas em campo para dobrar a lateral. CT Projeto Dobra Perfeita segue em fase avançada. Em breve Rocha pela direita e Rocha mais à direita ainda.,Neutro,Palmeiras
"Al ritmo del Capitán El buen ambiente que se vive en el Palmeiras a la espera del debut del Verdâo en el mundial de clubes. Siempre comandado por Gustavo Gómez, no solamente en lo futbolístico, también en lo musical. somosversuspy versuspy versus",Positivo,Palmeiras
Palmeiras Porto Quem conquista os primeiros pontos no Mundial de Clubes 2025? Qual será o placar final da partida?,Neutro,Palmeiras
Então Billy Bruto é canonicamente Palmeiras otário,Negativo,Palmeiras
Época que o Brasil era respeitado,Negativo,Palmeiras
Google lançou um joguinho de pênaltis pros times do Mundial. Só pesquisar o clube que vai aparecer uma bolinha azul pra jogar. Estou viciado.,Positivo,Palmeiras
"O MISTER RECONHECEU! Saudade que fala, né?",Neutro,Palmeiras
Palmeiras em cenas.... O inesquecível chocolate de 3x0 no SPFC e.... A jogada mais extraordinária do Zé Rafael com a camisa do Palmeiras....,Positivo,Palmeiras
VAI DEIXAR SAUDADES!? O Estêvão tá desfrutando cada instante desses últimos momentos com a camisa do Palmeiras. Ele resolveu registrar cada detalhe. Vai fazer muita falta pro Palmeiras e seu torcedor. MundialdeClubes2025,Negativo,Palmeiras
É verdadeira a afirmação de que os times paulistas vão torcer para o Palmeiras no mundial?,Neutro,Palmeiras
"É pra guardar, Estêvão! Um presente especial da torcida do na COMMEBOL Libertadores.",Positivo,Palmeiras
"Metlife Stadium já respira Palmeiras x Porto. Neste momento, o ensaio da entrada dos jogadores titulares ao estilo NBA Finals.",Neutro,Palmeiras
"DE PALMEIRAS ELE ENTENDE! E aí, concorda com as escolhas do Facincani? FutebolBrasileiro Palmeiras",Neutro,Palmeiras
"1.100 reais uma camisa do Palmeiras. Vai ter louco pagando ainda, tá maluco.",Negativo,Palmeiras
Perguntas e respostas com torcedor do Palmeiras Trocaria o título da Copa do Brasil de 2012 pelo não rebaixamento naquele mesmo ano? Qual Mundial você preferia que o Verdão tivesse vencido Chelsea em 2022 ou Manchester United em 1999?,Neutro,Palmeiras
"Flamengo x Leon 20 dólares , Palmeiras x Al Ahly 50 dólares diferença brutal",Neutro,Palmeiras
Desfile da Puma com as camisas do Palmeiras - exclusivas da Copa do Mundo de Clubes. Reprodução,Neutro,Palmeiras
"PÁ, ACESSO LIBERADO!",Neutro,Palmeiras
"amigos, eu sonhei com o jogo entre Palmeiras x Porto.",Neutro,Palmeiras
"spolier do aniversário do joão desse ano! ano passado ele ganhou um bolo com tema do palmeiras, esse ano vou fazer uma festa supresa com coisa do naruto",Neutro,Palmeiras
"A CONMEBOL Libertadores prepara para o , né, ? GloriaEterna FIFACWC",Neutro,Palmeiras
Análise dos adversários do PALMEIRAS na fase de grupos do SUPERMUNDIAL! Segue o fio!,Neutro,Palmeiras
"Je me permet de compléter, pour moi mes quatre curiosités - Rodrigo Mora, 17 ans, FC Porto - Dario Essugo - 20 ans, Chelsea - Richard Rios - 25 ans, Palmeiras - Arda Güler - 20 ans, Real Madrid Mention bonus à Kenan Yildiz, Francisco Conceicão et Liam Delap.",Neutro,Palmeiras
"Vídeo divulgado pela Puma entrega a nova camisa do Palmeiras. Todas as camisas da marca pra essa Copa do Mundo de Clubes serão assinadas por Kid Super, artista de NY que possui diversos trabalhos com a Puma.",Neutro,Palmeiras
Foi pro São Paulo,Neutro,Palmeiras
"A partida é só no domingo 15, mas o JogoAberto já soltou os palpites para a estreia do Palmeiras no Mundial de Clubes! Agora só falta o seu, torcedor. Diz aí EsporteNaBand",Neutro,Palmeiras
Defesa que ninguém passa,Neutro,Palmeiras
Veiga mandando um recado pra torcida do Palmeiras. Jogadores vão viajar com esse terno verde escuro. Na estica!,Neutro,Palmeiras
"Corre aqui, Estêvão! Quem não tá ansioso, né?",Neutro,Palmeiras
O menino treme na cara do gol?,Neutro,Palmeiras
Hoje não Central,Negativo,Palmeiras
Minha cabeça já está assim,Negativo,Palmeiras
Tá aprovada? E aí quilombo? 3 uniforme para a Copa do Mundo de Clubes!,Neutro,Palmeiras
Agora sim o grupo do Palmeiras está completo em Greensboro chegaram Leila Pereira e os convocados,Positivo,Palmeiras
O Trabalho do JP Sampaio nas categorias de base é espetacular. Visita do Sub-10 na comunidade Luiz Rubino.,Positivo,Palmeiras
pelo palmeiras sempre!,Neutro,Palmeiras
A Academia de Futebol está lotada pra acompanhar o último treino do Palmeiras antes do Mundial de Clubes,Neutro,Palmeiras
Cite um centroavante do Palmeiras que faria esse gol.,Neutro,Palmeiras
iriam dentro nesse hot dog de 1 dólar aqui no costco?,Neutro,Palmeiras
"Jornalista aponta contradição da própria FIFA em reconhecimento ou não do Palmeiras como campeão Mundial na Copa Rio de 1951. E aí, qual a sua opinião sobre o assunto? PodPorco",Negativo,Palmeiras
CAMILA BRAIT E PALMEIRAS CAMILA BRAIT E PALMEIRAAAS GANHEI MEU DIA,Positivo,Palmeiras
"FIFA testando o hino do Palmeiras no MetLife Stadium, palco da estreia do Verdão contra o Porto.",Neutro,Palmeiras
Mais um treino do Palmeiras aqui em Greensboro. Hoje está nublado e temperatura é bem mais agradável!,Neutro,Palmeiras
Club World Cup Group Forecast Happy with these! Just Porto and Palmeiras group unsure about so backed both! Stake what youre ok losing these are very hard to land!,Neutro,Palmeiras
"Copa Mitad del Mondo Sub-18. No intervalo, o Palmeiras perdia por 2 X 0 do Peñarol, e aí... virou o jogo com três golaços. 0.0",Neutro,Palmeiras
,Neutro,Palmeiras
JÁ IMAGINOU? Perguntamos para a IA como seria todo o mata-mata do Mundial de Clubes. O que achou? FutebolBrasileiro MundialDeClubes Palmeiras Flamengo Fluminense Botafogo,Neutro,Palmeiras
Fala Família Palmeiras! Tem recado do nosso tigrinho e do nosso Evangelista! Diretamente de Greensboro! Quem aí ta ansioso pra nossa estreia!,Neutro,Palmeiras
Concordam com o mano a mano entre Palmeiras e Porto da TNT Sports Diogo Costa - Weverton João Mário - Giay Nehuén Pérez - Gustavo Gómez Marcano - Murilo Francisco Moura - Piquerez Alan Varela - Emiliano Martínez Eustáquio - Richard Rios Fábio Vieira - Veiga Pepê - Estêvão Mora,Neutro,Palmeiras
A nova camisa do Palmeiras. 1.100 reais essa aqui. Manga Longa já esgotou nas lojas do Allianz Parque.,Neutro,Palmeiras
"PREMIAÇÕES NO MUNDIAL FALA, LEILA PEREIRA As pessoas costumam dizer que eu sou muito materialista e sou mesmo. Sou, sim. Porque, sem investimento, sem dinheiro, você não faz futebol de altíssimo nível como é o do Palmeiras. Sem recursos, você não consegue pagar em dia",Neutro,Palmeiras
"O PROVÁVEL Palmeiras contra o Porto. Weverton, Giay, Gomez, Murilo, Piquerez, Emiliano, Rios, Felipe Anderson, Estevão, Vitor Roque e Facundo Torres",Neutro,Palmeiras
A chegada do elenco do Palmeiras nos Estados Unidos.,Neutro,Palmeiras
Palmeiras é o único campeão do Mundo a participar de todos formatos de mundial - Copa Rio 1951 - Copa Intercontinental 1999 - Mundial de Clubes 2020 e 2022 - Copa do Mundo de Clubes 2025,Neutro,Palmeiras
Invasão Alviverde em Nova York,Neutro,Palmeiras
"Você Sabia? Se o Palmeiras ganhar os próximos 7 jogos por 1 X 0, será o Primeiro Campeão da Copa do Mundo de Clubes",Neutro,Palmeiras
"PREPARAÇÃO A TODO VAPOR O Palmeiras deu inicio a mais um dia de treino para o Mundial Expectativa alta, torcedor? MundialDeClubes2025",Neutro,Palmeiras
PÕE O LUCAS EVANGELISTA! E esse torcedor que pediu pro Abel Ferreira colocar o Lucas Evangelista porque o jogador foi o autor do gol da vitória em seu sonho... Será que o técnico do Palmeiras vai acatar esse pedido? MundialDeClubes2025,Neutro,Palmeiras
"Palmeiras em cenas... 2021, Palmeiras 3x0 São Paulo FC. E o Botafogo cortou Patrick de Paula do Mundial 2025. A verdade que o PP só foi feliz em um lugar.... E seremos eternamente gratos! O balanço é altíssimo....",Positivo,Palmeiras
"Roger levou Fluminense e Palmeiras ao Mundial. Pegou essas equipes desacreditadas, sem estrutura ou grandes investimentos, sem cascudos ou boleiragem, e com trabalho silencioso de base classificou para a Copa.",Neutro,Palmeiras
- Que time você torce? - Flamengo e Palmeiras.,Neutro,Palmeiras
Mundial de Clubes que quer unir o planeta começa em meio à tensão com imigrantes MundialDeClubes Fifa Imigração,Neutro,Palmeiras
Fotos oficiais do elenco do Palmeiras com a 3 camisa para a Copa do Mundo de Clubes.,Neutro,Palmeiras
"Torcida do Palmeiras está no CT em apoio ao jogadores, amanhã o time embarca para os Estados Unidos para a disputa da Copa do Mundo de Clubes TNTSportsBR",Neutro,Palmeiras
"Tenho grandes críticas ao Palmeiras e principalmente ao treinador. Mas tenho que confessar Penso todo dia nesse torneio. Por mais que digam que é impossível, me pego sonhando em ser campeão. O pior acredito. Quem não sonha com isso já perdeu o prazer de ser palmeirense.",Negativo,Palmeiras
O perfil oficial da Libertadores fez a arte com todos os campeões mundiais na história e NÃO adicionou o Palmeiras. O São Paulo é o único que foi ao outro lado do mundo e voltou com a taça 3x.,Neutro,Palmeiras
pqp quem deixou homem hetero criar as camisas?,Negativo,Palmeiras
- Quando você descobriu que o Google criou um jogo com o Palmeiras para a Copa do Mundo de Clubes da FIFA? Qual foi seu recorde?,Neutro,Palmeiras
Muita festa da torcida do Palmeiras na frente do CT! Torcedores apoiando o elenco um dia antes da viagem pros EUA,Positivo,Palmeiras
"FALTAM SÓ 3 DIAS PARA A NOSSA ESTREIA NO MUNDIAL! PRA CIMA, PORCO! OPoderDoAvanti",Positivo,Palmeiras
"Richard Ríos brigou com meio time da Argentina, marcou o Messi e trocou de camisa com ele após o jogo. Palmeiras x Inter Miami, em breve.",Neutro,Palmeiras
Algum clube brasileiro vai vencer na 1ª rodada do Mundial? Diz aí! FutebolBrasileiro Mundial Palmeiras Botafogo Flamengo Fluminense,Neutro,Palmeiras
"MAYKE NÃO PERDOOU PAULINHO! Durante o treino do Palmeiras, lateral acertou o camisa 1. Treino até parou para o Paulinho se recuperar da entrada ESPNnoMundial FutebolNaESPN",Neutro,Palmeiras
"Zé Elias, no Equipe F, da ESPN Brasil. O Palmeiras dá jogo no grupo Mundial de Clubes. O Palmeiras é um time europeu jogando no Brasil. A forma de jogar do Palmeiras é de um time muito europeu.",Neutro,Palmeiras
,Neutro,Palmeiras
O segredo para anular o Inter Miami! Facincani deu uma entrevista pra gente e falou um pouco sobre as expectativas do clube da MLS na competição e também contra o Palmeiras! MundialdeClubes Palmeiras MundialdeClubes InterMiami,Neutro,Palmeiras
"Pode dizer cara, a única coisa que não pode é falar que o palmeiras tem mundial",Negativo,Palmeiras
"Fotos dos novos uniformes do Palmeiras para o Mundial. Vermelho de goleiro, creme de linha. Curtiram?",Neutro,Palmeiras
"Ganhou do Palmeiras, perdeu pro Flamengo e ganhou do Bragantino, o Rogério Ceni é muito Flamengo.",Neutro,Palmeiras
Bayern de Munique postou uma arte da FifaCWC apenas com jogadores dos 4 times brasileiros que vão participar. Flamengo - Arrascaeta Fluminense - Ganso Botafogo - Savarino Palmeiras - Vitor Roque,Neutro,Palmeiras
Torcida do Palmeiras faz festa antes do embarque da equipe para o Mundial de Clubes.,Neutro,Palmeiras
13061976 Palmeiras 1x0 Portuguesa Campeonato Paulista Palestra Italia Ademir da Guia AvantiPalestra MaiorCampeãoDoBrasil,Neutro,Palmeiras
"De sempre para sempre, obrigada Palmeiras.",Positivo,Palmeiras
JUNTOS! JUNTOS! JUNTOS!,Neutro,Palmeiras
"Torcida do Palmeiras antes do embarque do time para os Estados Unidos. Vamos, vamos, porco... o bi mundial é a nossa obsessão",Positivo,Palmeiras
porra KKKKKKKKKKKKKKKKKKKK ainda vão falar pq é do Palmeiras,Negativo,Palmeiras
"Ningning AESPA Palmeiras, Uniforme Branco 2025 mandem sugestõessss",Neutro,Palmeiras
Kkkkkkkkkkkkkkkkkkkkk Vsf !!!,Negativo,Palmeiras
"Com imagens exclusivas da TV Palmeiras Sportingbet, confira o que rolou no treino de hoje!",Neutro,Palmeiras
Bateu a saudade,Negativo,Palmeiras
"Club World Cup Monte Carlo Sim 10,000 iterations I created the power ratings via strength of competition adjusted ELO ratings to try to compare the clubs While Porto won Group A more than Palmeiras, Palmeiras was able to upset PSG or Atletico more than I would have",Neutro,Palmeiras
"Amigos! Estou curioso para saber a opinião de vocês! Qual clube Brasileiro mais irrita a torcida neutra?! Resumindo, qual clube tem mais haters? Por algum motivo, me parece que é o nosso PALMEIRAS! Parece que eles têm inveja da gente O que vocês acham?",Neutro,Palmeiras
JOGADORES DO PALMEIRAS FORAM FALAR COM A TORCIDA! Os jogadores receberam o carinho do torcedor bem de perto! MundialDeClubes2025,Neutro,Palmeiras
Estou me sentindo um gambá de verde! QUE PORRA É KID SUPER????,Negativo,Palmeiras
Abel lembrou do Paçoca,Neutro,Palmeiras
Arthur Cabral.,Neutro,Palmeiras
Hoje começa a Copa do Mundo de Clubes e o Palmeiras vai em busca do bi,Neutro,Palmeiras
Inovando sempre em busca da excelência! Conheça a mais nova estrutura de saúde da Academia de Futebol o Centro de Recovery e Neurociência!,Neutro,Palmeiras
"Muchos éxitos a los equipos sudamericanos que nos representarán en el grandioso que comienza hoy! Lo mejor para , , , , y .",Positivo,Palmeiras
"Danilo, ao ler seu contrato de transferência do Nottinghan Forest para o Lyon, tinha uma cláusula para jogar exclusivamente no Botafogo caso voltasse para o Brasil",Neutro,Palmeiras
Cadê o fdp que disse que acha cafona ser palmeirense?,Negativo,Palmeiras
Eu acho tao engraçado torcedor do Palmeiras querer zoar com Mundial... Logo eles que só passam vergonha lá kkkkkk,Negativo,Palmeiras
"Léo Piffer, gerente operacional do Palmeiras, postou isso aqui nas redes sociais. Será que o clube vai levar pouca coisa pros States?",Neutro,Palmeiras
"Provável Palmeiras de amanhã contra o Porto Pra mim é o time mais correto de se ir, até pq era com esse time que estava vivendo sua melhor fase em 2025. Forte pra atacar com até 6 jogadores indo pro campo de ataque e pra defender podendo fazer um 5-3-2 ou 6-2-26-3-1",Positivo,Palmeiras
"A diferença do português de Portugal com o português do Brasil. Com Lucas Evangelista do Palmeiras, e Rodrigo Mora do Porto.",Neutro,Palmeiras
Eu olhando esses jogadores que sabem bater pênaltis Enquanto os do meu time,Neutro,Palmeiras
Esse foi o favoritômetro feito pelo Jornal O Globo sobre os 32 times que disputarão o Mundial de Clubes. Flamengo e Palmeiras são os clubes brasileiros com mais chances na competição. Opiniões?,Neutro,Palmeiras
Nao veremos ng da midia seja Globo ou UOL falando que o Porto disse CORRETAMENTE que Palmeiras tem 1 mundial... Assim se molda o GADO,Neutro,Palmeiras
Vivendo o sábado com a cabeça no domingo FIFACWC palmeiras maiorcampeãodobrasil,Positivo,Palmeiras
"Os brasileiros têm se reforçado para a disputa da Copa do Mundo de Clubes. Dos quatro participantes, apenas Palmeiras não contratou jogadores para a competição. Até agora, quem contratou melhor, torcedor?",Neutro,Palmeiras
"RAIZ E FUTURO! O coordenador João Paulo Sampaio compartilhou no Instagram o trabalho inspirador com o Sub-10 do Palmeiras na Comunidade Luiz Rubino, em Cidade Tiradentes! jpsampaio18",Positivo,Palmeiras
Essas são as novas camisas do Palmeiras para a Copa do Mundo de Clubes FIFA O que acharam?,Neutro,Palmeiras
E se os times que vão jogar o SUPERMUNDIAL fossem os times que venceram a Libertadores em determinados anos e não os de agora? Palmeiras -gt 2021 Flamengo -gt 2022 Fluminense -gt 2023 Botafogo -gt 2024 Quem seria o favorito?,Neutro,Palmeiras
Meta,Positivo,Palmeiras
"Palmeiras lançará, no próximo dia 10, dois modelos especiais para a disputa da Copa do Mundo de Clubes. Imagem da esquerda - camisa de jogadores de linha Imagem da direita camisa de goleiros.",Neutro,Palmeiras
"Se o elenco bilionário do Palmeiras fosse entregue pra Fernando Diniz, Rogério Ceni, Leonardo Jardim, Renato Gaucho, o Palmeiras estaria voando. Esses caras estão entregando muito mais que o Abel, com muito menos elenco. Somos reféns de um Abel de 2021, que nunca vai voltar.",Negativo,Palmeiras
"Será que o Palmeiras não deveria ter investido em pelo menos um nome muito fora da curva para o Mundial? Felipão teve chance em 1999, não fez, e se arrependeu...",Negativo,Palmeiras
"ABRIRAM OS COFRES! Segundo o site Transfermarkt, esses são os clubes que mais gastaram em contratações no ano de 2025. Os únicos brasileiros no ranking são Botafogo e Palmeiras, ocupando o 7º e o 10º lugar respectivamente. Arraste para o lado e confira o valor que cada time",Neutro,Palmeiras
Todos os troféus e escudos da Sociedade Esportiva Palmeiras! Arte feita por mim. Alguns escudos e troféus retirados da página . Avanti Palestra!,Neutro,Palmeiras
"TORCIDA TÁ PRESENTE! Torcida do Palmeiras canta e vibra na despedida do elenco antes do Mundial de Clubes! E aí, será que veremos uma boa campanha do Verdão na competição? FutebolBrasileiro Palmeiras MundialdeClubes",Neutro,Palmeiras
O que vocês acharam do vídeo motivacional do Palmeiras pro Mundial?,Neutro,Palmeiras
"um mês sem ver esse tanto de bagre jogar graças a deus, um mês sem corinthians vamo porra",Positivo,Corinthians
Sonham em ser Corinthians.,Neutro,Corinthians
Se VISUALIZOU é porque é Corinthians.,Neutro,Corinthians
dia 230 sem corinthians,Negativo,Corinthians
O Corinthians só volta a jogar daqui 1 mês. VAMO CARALHO,Neutro,Corinthians
Dia 130 sem Corinthians,Negativo,Corinthians
UM MÊS SEM CORINTHIANS,Negativo,Corinthians
Pior que esse arrombado jogava bola demais no Corinthians,Negativo,Corinthians
Olha essa postura da minha latera VaiCorinthians,Positivo,Corinthians
"- Bora pra um lugar vazio, escuro e silencioso - Vai me levar pro Morumbi?",Neutro,Corinthians
"CERET Daqui a pouco a bola rola para Centro Olímpico e Corinthians, às 19h. AsBrabinhas VaiCorinthians",Positivo,Corinthians
"MERCADO DA BOLA Besiktas, da Turquia, tem interesse em Memphis Depay, do Corinthians. Apesar da negociação difícil, o técnico Solskjær admira o atacante holandês, e o clube turco está disposto a oferecer uma alta quantia pelo camisa 10. Via",Neutro,Corinthians
"Corinthians e Santos pela semifinal do paulistão all black trio gym em ação 442 losango neymar no banco de reservas vendo o santos ser eliminado E o melhor, o primeiro gol de Rodrigo Garro no ano. Sem dúvidas, um dos dias mais fodas do ano até agora.",Positivo,Corinthians
"Foi assim que Ronaldo jogou pelo Corinthians. Já com 34 anos, pesando mais de 100 quilos e praticamente sem joelhos, ele fazia tudo isso. O Fenômeno.",Positivo,Corinthians
GOL DO GRÊMIO! Braithwaite abre o placar na Arena contra o Corinthians!,Positivo,Corinthians
"A fase do Corinthians não é das melhores, EU SEI! Mas na boa, esse vídeo aqui da torcida do São Paulo INDO EMBORA do Morumbi é um dos vídeos mais incríveis já vistos. Mas calma, a torcida que reduz é melhor que a Fiel sim, eles disseram.",Positivo,Corinthians
1 MÊS SEM CORINTHIANS,Negativo,Corinthians
